% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 8 2020, 00:39
% Table:              tce_outflow_concentration0.5 - tce_outflow_concentraion (tce_outflow_concentraion)
% Q_inject_design        t (s)                    tce_outflow_concentraion (mol/(m*s))
0.5                      637                      9.469521025362677E-8
0.5                      638                      9.455009431168052E-8
0.5                      639                      9.440532605603836E-8
0.5                      640                      9.426090548670027E-8
0.5                      641                      9.411683260366616E-8
0.5                      642                      9.397310740693613E-8
0.5                      643                      9.382972989651012E-8
0.5                      644                      9.368670007238821E-8
0.5                      645                      9.354401793457028E-8
0.5                      646                      9.340168348305638E-8
0.5                      647                      9.325969671784652E-8
0.5                      648                      9.311805763894077E-8
0.5                      649                      9.297676624633902E-8
0.5                      650                      9.283582254004131E-8
0.5                      651                      9.269522652004768E-8
0.5                      652                      9.255497818635806E-8
0.5                      653                      9.241507753897246E-8
0.5                      654                      9.227552457789096E-8
0.5                      655                      9.213631930311346E-8
0.5                      656                      9.199746171464001E-8
0.5                      657                      9.185895181247062E-8
