% Model:              NP_reactive_flow_TCE_in_Low_Permeable.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 7 2020, 21:56
% Table:              tce_outflow_concentration4 - tce_outflow_concentraion (tce_outflow_concentraion)
% lowPM_per              t (s)                    tce_outflow_concentraion (mol/(m*s))
1.0E-14                  554                      1.2309732040054613E-7
1.0E-14                  555                      1.2290547912691247E-7
1.0E-14                  556                      1.2271447439426596E-7
1.0E-14                  557                      1.2252430620260646E-7
1.0E-14                  558                      1.223349745519341E-7
1.0E-14                  559                      1.2214647944224877E-7
1.0E-14                  560                      1.2195882087355053E-7
1.0E-14                  561                      1.2177199884583938E-7
1.0E-14                  562                      1.215860133591153E-7
1.0E-14                  563                      1.2140086441337828E-7
1.0E-14                  564                      1.2121655200862842E-7
1.0E-14                  565                      1.2103307614486556E-7
1.0E-14                  566                      1.2085043682208986E-7
1.0E-14                  567                      1.206686340403012E-7
1.0E-14                  568                      1.204876677994996E-7
1.0E-14                  569                      1.203048828659093E-7
1.0E-14                  570                      1.2011373247329495E-7
1.0E-14                  571                      1.1992312942808735E-7
