% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:37
% Table:              Table 61 - np_retention_mass_lowPM (np_retention_mass_lowPM)
% lowPM_per              t (s)                    np_retention_mass_lowPM (mol/m)
1.0E-14                  450                      2.20209295059872E-4
1.0E-14                  451                      2.2045773546041004E-4
1.0E-14                  452                      2.2070592238185034E-4
1.0E-14                  453                      2.2095385582419309E-4
1.0E-14                  454                      2.2120153578743793E-4
1.0E-14                  455                      2.2144896227158507E-4
1.0E-14                  456                      2.216961352766347E-4
1.0E-14                  457                      2.2194305480258654E-4
1.0E-14                  458                      2.2218972084944063E-4
1.0E-14                  459                      2.224361334171969E-4
1.0E-14                  460                      2.2268229250585545E-4
1.0E-14                  461                      2.229281981154165E-4
1.0E-14                  462                      2.231738502458798E-4
1.0E-14                  463                      2.2341924889724525E-4
1.0E-14                  464                      2.2366439406951312E-4
1.0E-14                  465                      2.2390928576268313E-4
1.0E-14                  466                      2.241539239767555E-4
1.0E-14                  467                      2.2439830871173006E-4
1.0E-14                  468                      2.24642439967607E-4
1.0E-14                  469                      2.2488631774438635E-4
1.0E-14                  470                      2.251299420420679E-4
1.0E-14                  471                      2.2537331286065173E-4
1.0E-14                  472                      2.2561643020013766E-4
1.0E-14                  473                      2.2585929406052606E-4
1.0E-14                  474                      2.2610190444181667E-4
1.0E-14                  475                      2.2634426134400965E-4
1.0E-14                  476                      2.2658636476710498E-4
1.0E-14                  477                      2.2682821471110246E-4
1.0E-14                  478                      2.2706981117600244E-4
1.0E-14                  479                      2.2731115416180445E-4
1.0E-14                  480                      2.2755224366850882E-4
1.0E-14                  481                      2.277930796961156E-4
1.0E-14                  482                      2.280336622446246E-4
1.0E-14                  483                      2.2827399131403574E-4
1.0E-14                  484                      2.285140669043495E-4
1.0E-14                  485                      2.2875388901556526E-4
1.0E-14                  486                      2.2899345764768319E-4
1.0E-14                  487                      2.2923277280070378E-4
1.0E-14                  488                      2.2947183447462652E-4
1.0E-14                  489                      2.2971138449388883E-4
1.0E-14                  490                      2.29950917647955E-4
1.0E-14                  491                      2.3019022087228147E-4
1.0E-14                  492                      2.3042929416686766E-4
1.0E-14                  493                      2.306681375317144E-4
1.0E-14                  494                      2.3090675096682108E-4
1.0E-14                  495                      2.3114513447218814E-4
1.0E-14                  496                      2.3138328804781508E-4
1.0E-14                  497                      2.3162121169370217E-4
1.0E-14                  498                      2.3185890540984973E-4
1.0E-14                  499                      2.3209636919625717E-4
1.0E-14                  500                      2.3233360305292472E-4
1.0E-14                  501                      2.325706069798527E-4
1.0E-14                  502                      2.3280738097704063E-4
1.0E-14                  503                      2.3304392504448865E-4
1.0E-14                  504                      2.3328023918219688E-4
1.0E-14                  505                      2.3351632339016525E-4
1.0E-14                  506                      2.3375217766839377E-4
1.0E-14                  507                      2.3398780201688255E-4
1.0E-14                  508                      2.342231964356313E-4
1.0E-14                  509                      2.3445836092464038E-4
1.0E-14                  510                      2.3469329548390938E-4
1.0E-14                  511                      2.3492800011343874E-4
1.0E-14                  512                      2.351624748132281E-4
1.0E-14                  513                      2.3539671958327786E-4
1.0E-14                  514                      2.356307344235875E-4
1.0E-14                  515                      2.358645193341574E-4
1.0E-14                  516                      2.360980743149875E-4
1.0E-14                  517                      2.3633139936607759E-4
1.0E-14                  518                      2.3656449448742782E-4
1.0E-14                  519                      2.3679735967903825E-4
1.0E-14                  520                      2.3702999494090889E-4
1.0E-14                  521                      2.3726240027303964E-4
1.0E-14                  522                      2.374945756754305E-4
1.0E-14                  523                      2.3772652114808156E-4
1.0E-14                  524                      2.3795823669099268E-4
1.0E-14                  525                      2.3818972230416405E-4
1.0E-14                  526                      2.3842097798759568E-4
1.0E-14                  527                      2.3865200374128723E-4
1.0E-14                  528                      2.3888279956523888E-4
1.0E-14                  529                      2.3911336545945084E-4
1.0E-14                  530                      2.3934370142392292E-4
1.0E-14                  531                      2.3957380745865515E-4
1.0E-14                  532                      2.3980368356364766E-4
1.0E-14                  533                      2.400333297389001E-4
1.0E-14                  534                      2.4026274598441287E-4
1.0E-14                  535                      2.4049193230018552E-4
1.0E-14                  536                      2.4072088868621846E-4
1.0E-14                  537                      2.4094961514251165E-4
1.0E-14                  538                      2.4117811166906482E-4
1.0E-14                  539                      2.414063782658784E-4
1.0E-14                  540                      2.4163441493295205E-4
1.0E-14                  541                      2.4186222167028545E-4
1.0E-14                  542                      2.4208979847787935E-4
1.0E-14                  543                      2.423171453557334E-4
1.0E-14                  544                      2.4254426230384756E-4
1.0E-14                  545                      2.4277114932222187E-4
1.0E-14                  546                      2.4299780641085617E-4
1.0E-14                  547                      2.432242335697509E-4
1.0E-14                  548                      2.434504307989057E-4
1.0E-14                  549                      2.436763980983205E-4
1.0E-14                  550                      2.4390213546799543E-4
1.0E-14                  551                      2.4412764290793074E-4
1.0E-14                  552                      2.4435292041812603E-4
1.0E-14                  553                      2.445779679985815E-4
1.0E-14                  554                      2.4480278564929705E-4
1.0E-14                  555                      2.450273733702728E-4
1.0E-14                  556                      2.452517311615088E-4
1.0E-14                  557                      2.4547585902300485E-4
1.0E-14                  558                      2.4569975695476096E-4
1.0E-14                  559                      2.459234249567774E-4
1.0E-14                  560                      2.4614686302905375E-4
1.0E-14                  561                      2.463700711715906E-4
1.0E-14                  562                      2.4659304938438734E-4
1.0E-14                  563                      2.4681579766744436E-4
1.0E-14                  564                      2.4703831602076147E-4
1.0E-14                  565                      2.472606044443388E-4
1.0E-14                  566                      2.474826629381762E-4
1.0E-14                  567                      2.477044915022736E-4
1.0E-14                  568                      2.479260901366312E-4
1.0E-14                  569                      2.4814770628265426E-4
1.0E-14                  570                      2.483699500339094E-4
1.0E-14                  571                      2.485919908053931E-4
