% Model:              NP_reactive_flow_Different_injection_TCE_in_Low_Permeable2.mph
% Version:            COMSOL 5.2.0.166
% Date:               Jun 15 2020, 01:33
% Table:              TCE_reacted 0.02 - tce_reacted_mass (tce_reacted_mass)
% lowPM_per              t (s)                    The reacted TCE (mol/m)
1.0E-12                  521                      4.603095074315984E-6
1.0E-12                  522                      4.606258885095642E-6
1.0E-12                  523                      4.609417204720352E-6
1.0E-12                  524                      4.612570033189924E-6
1.0E-12                  525                      4.615717370504927E-6
1.0E-12                  526                      4.618859216664684E-6
1.0E-12                  527                      4.6219955716695195E-6
1.0E-12                  528                      4.625126435519298E-6
1.0E-12                  529                      4.628251808214237E-6
1.0E-12                  530                      4.631371689754174E-6
1.0E-12                  531                      4.634486080139162E-6
1.0E-12                  532                      4.637594979369175E-6
1.0E-12                  533                      4.640698387444131E-6
1.0E-12                  534                      4.643796304364112E-6
1.0E-12                  535                      4.646888730129334E-6
1.0E-12                  536                      4.6499756647394184E-6
1.0E-12                  537                      4.653057108194744E-6
1.0E-12                  538                      4.656133060494823E-6
1.0E-12                  539                      4.65920352164009E-6
1.0E-12                  540                      4.662268491630354E-6
1.0E-12                  541                      4.665327970465697E-6
1.0E-12                  542                      4.66838195814601E-6
1.0E-12                  543                      4.671430454671321E-6
1.0E-12                  544                      4.674473460041737E-6
1.0E-12                  545                      4.67751097425726E-6
1.0E-12                  546                      4.680542997317699E-6
1.0E-12                  547                      4.683569529223162E-6
1.0E-12                  548                      4.6865905699737314E-6
1.0E-12                  549                      4.689619100622705E-6
1.0E-12                  550                      4.692644071394107E-6
1.0E-12                  551                      4.695664195380887E-6
1.0E-12                  552                      4.698679472583099E-6
1.0E-12                  553                      4.701689903000743E-6
1.0E-12                  554                      4.7046954866338474E-6
1.0E-12                  555                      4.707696223482438E-6
1.0E-12                  556                      4.7106921135465964E-6
1.0E-12                  557                      4.713683156826079E-6
1.0E-12                  558                      4.716669353321048E-6
1.0E-12                  559                      4.71965070303153E-6
1.0E-12                  560                      4.722627205957445E-6
1.0E-12                  561                      4.7255988620988195E-6
1.0E-12                  562                      4.728565671455653E-6
1.0E-12                  563                      4.731527634027974E-6
1.0E-12                  564                      4.734484749815808E-6
1.0E-12                  565                      4.737437018818966E-6
1.0E-12                  566                      4.740384441037637E-6
1.0E-12                  567                      4.743327016471795E-6
1.0E-12                  568                      4.746264745121332E-6
